"store_id","ds","product_id","goods_id","goods_name","sale_num","income","cost","profit","profit_rate","preferential_money","point_money","full_money","stock_turnover_day","create_time","update_time"
21,2018-01-05 00:00:00,253,4167842,"老板（Robam）大吸力 免拆洗触控侧吸式抽油烟机 CXW-200-21A6",1,2280.0,2278.0,2.0,0.0009,0.0,0.0,200.0,40.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,168,978181,"老板（Robam）大吸力免拆洗欧式抽油烟机 CXW-200-60Q5",1,1680.0,2004.0,-324.0,-0.1929,0.0,0.0,100.0,36.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,176,5238946,"老板（Robam）猛火节能 不锈钢燃气灶（液化气）JZ(Y/T/R)-56G1",1,1873.0,1500.0,373.0,0.1991,7.0,0.0,200.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,183,5238940,"老板（Robam）38L实用型 家用多功能嵌入式电烤箱KQWS-2200-R071",1,4360.0,4660.0,-300.0,-0.0688,0.0,0.0,100.0,66.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,376,4320871,"老板（Robam）26A8B+58G6 侧吸式空气净化抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,190,4368046,"老板（Robam）大吸力 免拆洗欧式抽油烟机 CXW-200-60Q5",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,216,4333567,"老板（Robam）26A5S+33B7 侧吸式抽油烟机燃气灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,150,4369994,"老板（Robam）大吸力 免拆洗触控欧式吸油烟机 CXW-200-66A2",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,688,4390183,"老板（Robam）聚中劲火 不锈钢燃气灶（天然气）JZT-7G06",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,300,4175394,"老板（Robam）大吸力 免拆洗触控欧式吸油烟机（液化气） CXW-200-8325",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
